[20250220-173713]     PID    PPID CMD                         %MEM %CPU
[20250220-173753]   29694       1 /usr/lib/code-server/lib/no  0.7  0.0
[20250220-173753]    1045    1042 /usr/sbin/slick-greeter      0.7  0.1
[20250220-173753]     292       1 /usr/lib/systemd/systemd-jo  0.7  0.0
[20250220-173753]   29712   29694 /usr/lib/code-server/lib/no  0.7  0.0
[20250220-173753]    2037       1 /usr/libexec/fwupd/fwupd     0.5  0.0
[20250220-173753]   27064       1 /usr/bin/python3 /usr/bin/g  0.5  0.0
[20250220-173753]     921       1 /usr/sbin/tailscaled --stat  0.4  0.0
[20250220-173758]     PID    PPID CMD                         %MEM %CPU
[20250220-173758]   15291   15278 /usr/bin/onedrive --monitor  1.4  5.8
[20250220-173758]     944     931 /usr/lib/xorg/Xorg -core :0  1.3  0.1
[20250220-173758]   29694       1 /usr/lib/code-server/lib/no  0.7  0.0
[20250220-173758]    1045    1042 /usr/sbin/slick-greeter      0.7  0.1
[20250220-173758]     292       1 /usr/lib/systemd/systemd-jo  0.7  0.0
[20250220-173758]   29712   29694 /usr/lib/code-server/lib/no  0.7  0.0
[20250220-173758]    2037       1 /usr/libexec/fwupd/fwupd     0.5  0.0
[20250220-173758]   27064       1 /usr/bin/python3 /usr/bin/g  0.5  0.0
[20250220-173758]     921       1 /usr/sbin/tailscaled --stat  0.4  0.0
[20250220-173803]     PID    PPID CMD                         %MEM %CPU
[20250220-173803]   15291   15278 /usr/bin/onedrive --monitor  1.4  5.8
[20250220-173803]     944     931 /usr/lib/xorg/Xorg -core :0  1.3  0.1
[20250220-173803]   29694       1 /usr/lib/code-server/lib/no  0.7  0.0
[20250220-173803]    1045    1042 /usr/sbin/slick-greeter      0.7  0.1
[20250220-173803]     292       1 /usr/lib/systemd/systemd-jo  0.7  0.0
[20250220-173803]   29712   29694 /usr/lib/code-server/lib/no  0.7  0.0
[20250220-173803]    2037       1 /usr/libexec/fwupd/fwupd     0.5  0.0
[20250220-173803]   27064       1 /usr/bin/python3 /usr/bin/g  0.5  0.0
[20250220-173803]     921       1 /usr/sbin/tailscaled --stat  0.4  0.0
[20250220-173808]     PID    PPID CMD                         %MEM %CPU
[20250220-173808]   15291   15278 /usr/bin/onedrive --monitor  1.4  5.8
[20250220-173808]     944     931 /usr/lib/xorg/Xorg -core :0  1.3  0.1
[20250220-173808]   29694       1 /usr/lib/code-server/lib/no  0.7  0.0
[20250220-173808]    1045    1042 /usr/sbin/slick-greeter      0.7  0.1
[20250220-173808]     292       1 /usr/lib/systemd/systemd-jo  0.7  0.0
[20250220-173808]   29712   29694 /usr/lib/code-server/lib/no  0.7  0.0
[20250220-173808]    2037       1 /usr/libexec/fwupd/fwupd     0.5  0.0
[20250220-173808]   27064       1 /usr/bin/python3 /usr/bin/g  0.5  0.0
[20250220-173808]     921       1 /usr/sbin/tailscaled --stat  0.4  0.0
